title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Java Argopuro Mountain Natural SOE,Temple Coffee,94,"Sacramento, California","Argopuro Mountain, Java, Indonesia",Medium-Light,56/79,$27.00/12 ounces,May 2024,9,,9,9,8,9,
Rwanda Rambagirakawa,Temple Coffee,94,"Sacramento, California","Gakenke District, Rwanda",Medium-Light,59/77,$26.00/12 ounces,May 2024,9,9,9,9,8,,
Rwanda Crown Jewel Akanduga,SkyTop Coffee,93,"Manlius, New York","Gakenke District, Rwanda",Medium-Light,59/77,$30.00/12 ounces,May 2024,9,9,8,9,8,,
Rwanda Kinini Village,Utopian Coffee,93,"Fort Wayne, Indiana","Northern Provence, Rulindo District, Rwanda",Light,64/82,$22.00/12 ounces,May 2024,9,8,9,9,8,,
Masha #5 Burundi,JBC Coffee Roasters,93,"Madison, Wisconsin","Kayanza, Burundi",Light,66/84,$20.00/12 ounces,May 2024,9,8,9,9,8,,
Dimtu Ethiopia,JBC Coffee Roasters,93,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,$25.00/12 ounces,May 2024,9,9,8,9,8,,
Buesaco Colombia,JBC Coffee Roasters,92,"Madison, Wisconsin","Nariño Department, Colombia",Medium-Light,59/81,$18.00/12 ounces,May 2024,8,9,8,9,8,,
Colombia El Vergel #1,Speedwell Coffee,95,"Plymouth, Massachusetts","Huila Department, Colombia",Light,62/80,$15.00/12 ounces,May 2024,9,9,9,9,9,,
Colombia Cauca Castillo K-01,Jaunt Coffee Roasters,94,"San Diego, California","Cauca Department, Colombia",Medium-Light,59/82,$36.00/8 ounces,May 2024,9,9,9,9,8,,
Ethiopia Sidama G4 Wamena Natural Espresso,GK Coffee,94,"Yilan, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,59/81,NT $580/454 grams,May 2024,9,,9,9,8,9,
Colombia El Paraiso Lychee Rose,GK Coffee,94,"Yilan, Taiwan","Piendamó, Cauca Department, Colombia",Light,65/87,NT $500/100 grams,May 2024,9,9,9,9,8,,
Colombia Cauca Castillo YN-05,Jaunt Coffee Roasters,93,"San Diego, California","Cauca Department, Colombia",Light,62/80,$36.00/8 ounces,May 2024,9,9,8,9,8,,
Colombia Cauca Finca EI Paraiso 92 Pink Bourbon,Bargain Cafe,95,"Taitung, Taiwan","Piendamó, Cauca Department, Colombia",Light,66/92,NT $600/200 grams,May 2024,9,9,9,9,9,,
Costa Rica Hacienda Copey Black Honey,Bargain Cafe,93,"Taitung, Taiwan","Tobosi, Cartago Province, Costa Rica",Light,62/80,NT $360/200 grams,May 2024,9,8,9,9,8,,
Dragon Year Blend,Bargain Cafe,93,"Taitung, Taiwan","Costa Rica, Colombia",Medium-Light,55/75,NT $500/200 grams,May 2024,9,8,9,9,8,,
Colombia Mokka Anaerobic Natural Finca Hawaii,Paradise Roasters,96,"Hilo, Hawaii","Cundinamarca Department, Colombia",Light,66/90,$40.00/4 ounces,May 2024,9,9,9,10,9,,
Kona Geisha Washed,Paradise Roasters,96,"Hilo, Hawaii","Holualoa, North Kona District, “Big Island” of Hawaiʻi",Light,64/86,$100.00/4 ounces,May 2024,9,9,10,9,9,,
Black Basalt Dark Roast Blend Espresso,Paradise Roasters,92,"Hilo, Hawaii",Honduras; Nicaraua; Thailand,Medium-Dark,35/48,$19.00/12 ounces,May 2024,8,,8,9,8,9,
Rwanda Buhuro COOPAC,Intuition Coffee,93,"Peoria, Illinois","Western Province, Rwanda",Medium-Light,60/79,$21.00/12 ounces,May 2024,9,8,9,9,8,,
Karen J Kona Red Bourbon Anaerobic,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,58/82,$54.95/8 ounces,May 2024,9,9,9,9,9,,
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,95,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,65/86,$24.00/12 ounces,May 2024,9,9,9,9,9,,
Ethiopia Yirgacheffe Chelchele Washed G1,Buon Caffe,94,"Taipei, Taiwan","Gedeo Zone, SNNPR, southern Ethiopia",Light,62/86,NT $329/8 ounces,May 2024,9,9,8,9,9,,
Kenya Nyeri Hill,Roadmap CoffeeWorks,94,"Lexington, Virginia","Nyeri growing region, south-central Kenya",Light,62/80,$22.00/12 ounces,May 2024,9,9,9,9,8,,
El Salvador El Mirador,Roadmap CoffeeWorks,93,"Lexington, Virginia","Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,58/78,$22.50/12 ounces,May 2024,9,8,9,9,8,,
Midnight in Paris Espresso Blend,Buon Caffe,93,"Taipei, Taiwan",Guatemala; Colombia; Brazil,Medium-Light,55/76,NT $299/16 ounces,May 2024,9,,9,9,7,9,
Colombia Las Brisas Anaerobic Washed,Buon Caffe,93,"Taipei, Taiwan","Tolima, Colombia",Light,64/87,NT $489/8 ounces,May 2024,9,8,9,9,8,,
Spring Blend,Buon Caffe,93,"Taipei, Taiwan",Guatemala; Ethiopia,Medium-Light,59/77,NT $349/8 ounces,May 2024,9,8,9,9,8,,
Revel Blend Espresso,Revel Coffee,93,"Billings, Montana",Brazil; Guatemala; Ethiopia,Medium-Light,55/77,$19..75/12 ounces,May 2024,9,,8,9,8,9,
Tigerwalk Espresso,Equator Coffees,92,"San Rafael, California",Colombia; Kenya; Brazil,Medium-Light,56/73,$17.00/12 ounces,May 2024,9,,8,9,8,9,
Thailand Chaiprakarn Black Honey Single Origin Espresso,Equator Coffees,90,"San Rafael, California","Chiang Mai growing region, northern Thailand",Medium-Light,57/82,$25.00/12 ounces,May 2024,8,,8,8,8,8,
Dragon Strong Espresso,Simon Hsieh Aroma Roast Coffees,94,"Taoyuan, Taiwan",Ethiopia; Kenya; Colombia; Costa Rica,Medium,45/62,NT $650/227 grams,April 2024,9,,9,9,8,9,
Union,Utopian Coffee,93,"Fort Wayne, Indiana",Guatemala; Colombia,Medium-Light,54/72,$18.00/12 ounces,April 2024,9,,8,9,8,9,
Volo Espresso Blend,Utopian Coffee,92,"Fort Wayne, Indiana",Not disclosed,Medium-Light,52/70,$19.00/12 ounces,April 2024,8,,8,9,8,9,
Peru Cafe de Mujer,Utopian Coffee,93,"Fort Wayne, Indiana","Rodriguez de Mendoza, Amazonas, Peru",Medium-Light,57/78,$19.00/12 ounces,April 2024,9,8,9,9,8,,
Riripa Ethiopia,JBC Coffee Roasters,95,"Madison, Wisconsin","Riripa Village, West Arsi, Sidamo growing region, Ethiopia",Light,60/84,$20.00/12 ounces,April 2024,9,9,9,9,9,,
Ethiopia Washed Guji Uraga Haro Adama,Kakalove Cafe,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,64/86,NT $280/8 ounces,April 2024,9,9,9,9,9,,
Ethiopia Washed Kaffa Lot Rich Espresso,Kakalove Cafe,94,"Chia-Yi, Taiwan","Gimbo, Kaffa Province, Ethiopia",Medium-Light,58/78,NT $200/8 ounces,April 2024,9,,9,9,8,9,
Ethiopia Washed Kaffa Lot Taco,Kakalove Cafe,94,"Chia-Yi, Taiwan","Gimbo, Kaffa Province, Ethiopia",Light,64/82,NT $250/8 ounces,April 2024,9,9,9,9,8,,
Ethiopia Natural Sidama Karamo Niguse Gemeda 74158,Kakalove Cafe,94,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,62/84,NT $310/8 ounces,April 2024,9,9,9,9,8,,
Rainy Season in Fort Zeelandia Espresso Blend,Kakalove Cafe,94,"Chia-Yi, Taiwan",Ethiopia; Honduras; Kenya; Guatemala,Medium-Light,56/74,NT $320/8 ounces,April 2024,9,,9,9,8,9,
Murundo People’s Farm Rwanda (Espresso),JBC Coffee Roasters,93,"Madison, Wisconsin","Nyamasheke District, Western Province, Rwanda",Medium-Light,57/79,$19.00/12 ounces,April 2024,9,,8,9,8,9,
Murundo People’s Farm Rwanda,JBC Coffee Roasters,93,"Madison, Wisonsin","Nyamasheke District, Western Province, Rwanda",Medium-Light,57/79,$19.00/12 ounces,April 2024,9,8,8,9,9,,
Guatemala Natural Finca El General Bourbon/Catuai,Kakalove Cafe,93,"Chia-Yi, Taiwan","Acatenango, Chimaltenango, Guatemala",Light,65/81,NT $290/8 ounces,April 2024,9,8,9,9,8,,
Kenya Nyeri Kianjogu AA TOP Washed,Buon Caffe,94,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Light,62/82,NT $400/8 ounces,April 2024,9,9,9,9,8,,
Colombia El Jeromo Washed SOE,Buon Caffe,92,"Taipei, Taiwan","La Unión, Nariño Department, Colombia",Medium-Light,58/74,NT $350/8 ounces,April 2024,8,,8,9,8,9,
Guatemala La Flor Limited Edition,Buon Caffe,90,"Taipei, Taiwan","Antigua, Guatemala",Light,63/80,NT $350/8 ounces,April 2024,8,8,8,8,8,,
Guatemala Alto Refugio,Utopian Coffee,93,"Fort Wayne, Indiana","San Antonio Palopo, Guatemala",Light,64/78,$19.00/12 ounces,April 2024,9,8,9,9,8,,
Kenya Super C,Heat Coffee,92,"Taipei, Taiwan",Kenya,Light,57/88,NT $220/8 ounces,April 2024,9,8,8,9,8,,
Oiran Blend,Heat Coffee,92,"Taipei, Taiwan",Ethiopia; Kenya; Brazil,Medium-Light,61/75,NT $300/8 ounces,April 2024,8,9,8,9,8,,
Colombia Paraiso 92 Double Anaerobic,Bargain Cafe,95,"Taitung, Taiwan","Piendamó, Cauca Department, Colombia",Medium-Light,52/74,NT $430/200 grams,April 2024,9,,9,9,9,9,
Colombia Buenavista Ataraxia Geisha,Euphora Coffee,94,"Taipei, Taiwan","Huila Department, Colombia",Medium,50/65,$10.00/4 ounces,April 2024,9,,9,9,8,9,
Kona Espresso Special Selection,Hula Daddy Kona Coffee,94,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,58/74,$69.95/8 ounces,April 2024,9,,9,9,8,9,
Colombia Granja Paraiso-92 Castillo,Paradise Roasters,94,"Hilo, Hawaii","Cauca Department, Colombia",Light,62/84,$30.00/12 ounces,April 2024,9,,9,9,9,8,
Colombia Red Honey Geisha Campo Hermoso,Bear Lake Coffee Co.,95,"Barronett, Wisconsin","Armenia, Quindio Department, Colombia",Light,59/86,$32.00/12 ounces,April 2024,9,9,9,9,9,,
Ethiopia Sidama Karamo Anaerobic Natural,Bear Lake Coffee Co.,94,"Barronett, Wisconsin","Sidamo growing region, south-central Ethiopia",Medium-Light,54/78,$29.00/12 ounces,April 2024,9,9,9,9,8,,
El Salvador Finca San Antonio Pacas Natural,Bear Lake Coffee Co.,93,"Barronett, Wisconsin","Apaneca Illamatepec growing region, Juayúa, El Salvador",Light,64/89,$18.00/12 ounces,April 2024,9,9,8,9,8,,
Midnight Stargazer,Bear Lake Coffee Co.,93,"Barronett, Wisconsin",Costa Rica; El Salvador; Ethiopia,Medium,50/71,$18.00/12 ounces,April 2024,9,,8,9,8,9,
Kona SL 34 Anaerobic Washed Kona Rainforest,Paradise Roasters,95,"Hilo, Hawaii","South Kona, Big Island of Hawai’i",Light,65/81,$60.00/4 ounces,April 2024,9,9,9,9,9,,
Colombia Yellow Geisha Granja Paraiso 92,Paradise Roasters,94,"Hilo, Hawaii","Piendamo, Cauca Department, Colombia",Light,64/84,$40.00/4 ounces,April 2024,9,9,9,9,8,,
Yaye Chericho Ethiopia Espresso,JBC Coffee Roasters,95,"Madison, Wisconsin","Chericho, Sidamo growing region, Ethiopia",Medium-Light,60/78,$22.00/8 ounces,April 2024,9,,9,9,9,9,
Colombia Chachagüí Mild Roast,Rusty Dog Coffee,94,"Madison, Wisconsin","Chachagüí, Nariño Department, Colombia",Light,64/86,$21.00/12 ounces,April 2024,9,9,9,9,8,,
Ka‘ū Classic Medium Roast,Rusty's Hawaiian,93,"Pahala, Big Island of Hawai’i","Ka‘ū growing district, Big Island of Hawai’i",Medium-Light,54/74,$20.50/7 ounces,April 2024,9,9,8,9,8,,
Colombia Thermal Shock Double Anaerobic Granja Paraiso Orange Gesha,Kakalove Cafe,95,"Chia-Yi, Taiwan","Piendamo, Cauca, Colombia",Light,64/80,NT $450/4 ounces,April 2024,9,9,9,9,9,,
Kenya Nyeri Hill Estate AA Top Espresso,Kakalove Cafe,94,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,60/80,NT $290/8 ounces,April 2024,9,,8,9,9,9,
Colombia Granja Paraiso 92 Anaerobic Gesha,Kakalove Cafe,94,"Chia-Yi, Taiwan","Piendamo, Cauca, Colombia",Light,62/84,NT $450/4 ounces,April 2024,9,9,9,9,8,,
Kenya Gaturiri,Durango Coffee Company,93,"Durango, Colorado","Kiambu County, Kenya",Medium-Light,58/78,$19.95/12 ounces,April 2024,9,9,8,9,8,,
Guatemala La Merced Espresso,Durango Coffee Company,93,"Durango, Colorado","Chimaltenango, Guatemala",Medium-Light,54/74,$18.95/12 ounces,April 2024,9,,8,9,8,9,
Putra Gayo Sumatra Espresso,JBC Coffee Roasters,95,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,59/77,$23.00/12 ounces,March 2024,9,,9,9,9,9,
Colombia Paraiso 92 Geisha Double Anaerobic,Bargain Cafe,95,"Taitung, Taiwan","Piendamó, Cauca Department, Colombia",Light,62/82,NT $750/200 grams,March 2024,9,9,9,9,9,,
Kenya Blackberry Honey,Bargain Cafe,94,"Taitung, Taiwan","Rift Valley Province, Kenya",Light,62/80,NT $350/200 grams,March 2024,9,9,9,9,8,,
Ethiopia Honey Peach of Floral Language,Bargain Cafe,93,"Taitung, Taiwan","Sidamo growing region, south-central Ethiopia",Light,65/81,NT $350/200 grams,March 2024,9,9,8,9,8,,
Putra Gayo Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,59/77,$23.00/12 ounces,March 2024,9,9,9,9,8,,
Kenya Gachika,Utopian Coffee,94,"Fort Wayne, Indiana","Kiamworia, Kiambu County, Kenya",Light,62/80,$21.00/12 ounces,March 2024,9,9,9,9,8,,
Hey Much Espresso Blend,Kakalove Cafe,94,"Chia-Yi, Taiwan",Guatemala; Honduras; Colombia,Medium-Light,56/80,NT $225/8 ounces,March 2024,9,,9,9,8,9,
Ethiopia Black Honey Guji Wate Lot Tabby,Kakalove Cafe,94,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,63/81,NT $340/8 ounces,March 2024,9,9,9,9,8,,
Golden Parrot Blend,Kakalove Cafe,93,"Chia-Yi, Taiwan",Guatemala; Ethiopia; Colombia,Medium-Light,57/77,NT $210/8 ounces,March 2024,9,,8,9,8,9,
Finca Vista Hermosa Edwin’s Reserve Guatemala,Torque Coffee,94,"San Diego, California","Huehuetenango, Guatemala",Light,63/81,$21.34/12ounces,March 2024,9,9,9,9,8,,
Costa Rica Las Lajas Perla Negra,Durango Coffee Company,95,"Durango, Colorado","Sabanilla de Alajuela growing region, Costa Rica",Medium-Light,58/80,$18.95/12 ounces,February 2024,9,9,9,9,9,,
Kenya AA Top Gicherori Espresso,GK Coffee,95,"Yilan, Taiwan","Embu County, Kenya",Medium,44/62,NT 550/200 grams,February 2024,9,,9,9,9,9,
Kagunyu Kenya,JBC Coffee Roasters,94,"Madison, Wisconsin","Nyeri County, Kenya",Medium-Light,60/78,$22.00/12 ounces,February 2024,9,9,9,9,8,,
Buesaco Colombia Espresso,JBC Coffee Roasters,93,"Madison, Wisconsin","Buesaco, Nariño District, Colombia",Medium-Light,57/75,$18.00/12 ounces,February 2024,8,,9,9,8,9,
Kariaini Kenya,JBC Coffee Roasters,93,"Madison, Wisconsin","Kirinyaga County, Kenya",Medium-Light,58/76,$22.00/12 ounces,February 2024,9,8,9,9,8,,
Yaye Chericho Ethiopia,JBC Coffee Roasters,93,"Madison, Wisconsin","Chericho, Sidamo, Ethiopia",Medium-Light,60/80,$22.00/8 ounces,February 2024,9,9,8,9,8,,
Ethiopia Sasaba Guji,Temple Coffee,93,"Sacramento, California","Sidamo growing region, south-central Ethiopia",Medium-Light,57/76,$24.50/12 ounces,February 2024,9,8,9,9,8,,
Kenya AA Top Gicherori,GK Coffee,93,"Yilan, Taiwan","Embu County, Kenya",Medium,44/62,NT 550/200 grams,February 2024,9,8,9,9,8,,
Colombia Finca Milan Washed Nitro Caturra,Revel Coffee,95,"Billings, Montana","Vereda El Hoga, Risaralda, Colombia",Light,64/84,$32.00/12 ounces,February 2024,9,9,9,9,9,,
Peru Wiliam Shakespeare Roman Washed,Buon Caffe,93,"Taipei, Taiwan","Cajamarca, Peru",Medium-Light,59/77,NT 400/8 ounces,February 2024,9,9,8,9,8,,
COLLIE Espresso Blend,Buon Caffe,92,"Taipei, Taiwan",Guatemala; Colombia; Brazil,Medium-Light,58/72,NT 159/8 ounces,February 2024,9,,8,8,9,8,
BEAGLE Espresso Blend,Buon Caffe,91,"Taipei, Taiwan",Ethiopia; Colombia; Brazil,Medium,50/68,NT 159/8 ounces,February 2024,8,,8,9,7,9,
AKITA Espresso Blend,Buon Caffe,91,"Taipei, Taiwan",Colombia; Brazil; Nicaragua; Mexico,Medium-Light,55/73,NT 169/8 ounces,February 2024,8,,8,8,8,9,
Guatemala La Esperanza Anaerobic,Intuition Coffee,94,"Peoria, Illinois","Hoja Blanca, Huehuetenango, Guatemala",Light,64/86,$24.00/12 ounces,February 2024,9,9,9,9,8,,
Sumatra Pantan Musara,Utopian Coffee,94,"Fort Wayne, Indiana","Pegasing, Takengon, Aceh Province, Sumatra, Indonesia",Medium-Light,60/78,$22.00/12 ounces,February 2024,9,9,9,9,8,,
DRC Katana Natural,Utopian Coffee,93,"Fort Wayne, Indiana","Kabare, South Kivu, Democratic Republic of the Congo",Light,62/82,$19.00/12 ounces,February 2024,9,8,9,9,8,,
PNG Korgua Estate Natural,Utopian Coffee,93,"Fort Wayne, Indiana","Nebilyer Valley, Western Highlands, Papua New Guinea",Light,60/82,$19.00/12 ounces,February 2024,9,8,9,9,8,,
Kona Red Bourbon Anaerobic Washed Kona Rainforest,Paradise Roasters,95,"Hilo, Hawaii","South Kona growing region, Big Island of Hawai’i",Light,60/82,$60.00/4 ounces,February 2024,9,9,9,9,9,,
Ethiopia Ethiopia Limu Baby Geisha Natural,Bargain Cafe,94,"Taitung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,56/84,NT 380/200 grams,February 2024,9,9,9,9,8,,
Ethiopia Guji Violet Love Natural,Bargain Cafe,93,"Taitung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,59/82,NT 360/200 grams,February 2024,9,9,8,9,8,,
Panama Hacienda La Esmeralda Ethiopian Accessions,Paradise Roasters,94,"Hilo, Hawaii","Boquete growing region, western Panama",Light,65/84,$40.00/4 ounces,February 2024,9,9,9,9,8,,
Hawai’i Kona Peaberry Darnall Estate,Paradise Roasters,93,"HIlo, Hawaii","Holualoa, Kona, Big Island of Hawai’i",Medium-Light,58/80,$30.00/4 ounces,February 2024,9,9,8,9,8,,
Ethiopia Israel Degefa Wush Wush,Revel Coffee,93,"Billings, Montana","Sama, Ana Sora District, Oromia Region, Ethiopia",Light,75/102,$23.50/12 ounces,February 2024,9,9,8,9,8,,
Kenya Ndaroini AA,Speedwell Coffee,93,"Plymouth, Massachusetts","Nyeri growing region, south-central Kenya",Medium-Light,61/80,$18.00/12 ounces,February 2024,9,9,8,9,8,,
Costa Rica Palomas,Side by Each Brewing Co.,93,"Auburn, Maine","San Jose, Costa Rica",Light,64/99,$18.50/16 ounces,February 2024,9,9,8,9,8,,
Sumatra Takengon,Side By Each Brewing Co.,93,"Auburn, Maine","Pantan Musara, Pegasing, Sumatra, Indonesia",Light,63/87,$20.00/16 ounces,February 2024,9,8,9,9,8,,
Reveille Espresso,Side By Each Brewing Co.,92,"Auburn, Maine",Colombia; Costa Rica; Honduras,Medium,50/68,$18.00/16 ounces,February 2024,8,,9,8,8,9,
Honduras Marcala,Side By Each Brewing Co.,92,"Auburn, Maine","Marcala, Honduras",Light,65/92,$18.50/16 ounces,February 2024,9,8,8,9,8,,
Levity,Side By Each Brewing Co.,92,"Auburn, Maine",Colombia; Costa Rica; Honduras; Sumatra,Light,60/87,$18.00/16 ounces,February 2024,,8,9,9,8,,
Warm and Fuzzy Decaf Espresso,Side By Each Brewing Co.,91,"Auburn, Maine",Colombia,Medium-Light,54/72,$18.00/16 ounces,February 2024,8,,8,8,8,9,
My Old Friend Dark Roast,Side By Each Brewing Co.,91,"Auburn, Maine",Colombia; Costa Rica,Medium,47/65,$18.00/16 ounces,February 2024,8,7,9,9,8,,
Laura’s Reserve SL34,Hula Daddy Kona Coffee,97,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Light,62/80,$69.95/8 ounces,February 2024,10,9,9,10,9,,
Panama Mokkita Natural Mama Cata Estate,Paradise Roasters,96,"Hilo, Hawaii","Boquete, Panama",Light,64/82,$250/4 ounces,February 2024,9,9,9,10,9,,
Ka‘ū Classic Peaberry,Rusty's Hawaiian,94,"Pahala, “Big Island” of Hawai’i","Ka‘ū growing district, ""Big Island"" of Hawai’i",Medium-Light,58/74,$30.00/7 ounces,February 2024,9,9,9,9,8,,
Hapa,Monarch Coffee,93,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,55/76,$28.00/8 ounces,February 2024,9,8,9,9,8,,
Colombia 510 Elegante Natural Geisha,Utopian Coffee,95,"Fort Wayne, Indiana","Manizales, Caldas, Colombia",Light,62/82,$10.00/4 ounces (sold only as a two-pack),January 2024,9,9,9,9,9,,
Colombia Turron,Utopian Coffee,94,"Fort Wayne, Indiana","Manizales, Caldas, Colombia",Medium-Light,58/78,$10.00/4 ounces (sold only as a two-pack),January 2024,9,9,9,9,8,,
Mukwinja DR Congo,JBC Coffee Roasters,93,"Madison, Wisconsin","Kalehe, South Kivu growing region, Democratic Republic of Congo",Light,64/83,$19.00/12 ounces,January 2024,9,8,9,9,8,,
Buesaco Colombia,JBC Coffee Roasters,92,"Madison, Wisconsin","Nariño Department, Colombia",Light,64/91,$18.00/12 ounces,January 2024,8,9,8,9,8,,
Ethiopia Layo Teraga,Utopian Coffee,95,"Fort Wayne, Indiana","Sidamo growing region, southern Ethiopia",Light,62/80,$23.00/12 ounces,January 2024,9,9,9,9,9,,
Ethiopia Reko Yirgacheffe,Temple Coffee,94,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,58/76,$24.50/12 ounces,January 2024,9,9,9,9,8,,
Guatemala Hunapu,Temple Coffee,93,"Sacramento, California","Antigua, Guatemala",Medium-Light,60/76,$23.00/12 ounces,January 2024,9,8,9,9,8,,
Honduras Delmy Regalado Octopeque,Temple Coffee,93,"Sacramento, California","Ocotepeque, Honduras",Medium-Light,55/73,$22.00/12 ounces,January 2024,9,8,8,9,9,,
Colombia Huila El Diviso Nestor Lasso Geisha Washed,Coffeebox Coffee,95,"Taipei, Taiwan","Bruselas, Pitalito, Huila Department, Colombia",Light,66/84,NT$780/227 grams,January 2024,9,9,9,9,9,,
Ethiopia Bensa Bombe,Heat Coffee,94,"Taipei, Taiwan","Bombe Village, Bensa District, Sidamo growing region, Ethiopia",Light,64/86,NT$200/8 ounces,January 2024,9,9,9,9,8,,
Colombia  Nariño Villa Maria La Chorrera Geisha Washed,Coffeebox Coffee,94,"Taipei, Taiwan","Nariño Department, Colombia",Medium-Light,60/76,NT$710/227 grams,January 2024,9,9,9,9,8,,
Kenya Kirinyaga County Gikirima Factory TOP PB,Coffeebox Coffee,94,"Taipei, Taiwan","Embu County, Kenya",Medium-Light,60/78,NT$240/227 grams,January 2024,9,9,9,9,8,,
Colombia Huila Finca Buena Vista Geisha Washed,Coffeebox Coffee,94,"Taipei, Taiwan","El Jardin, Pitalito, Huila Department, Colombia",Medium-Light,60/80,NT$650/227 grams,January 2024,9,9,9,9,8,,
Ethiopia Bench Maji Geisha Special Winey,Coffeebox Coffee,93,"Taipei, Taiwan","Bench-Maji Zone, Southern Ethiopia",Light,64/82,NT$420/227 grams,January 2024,9,8,9,9,8,,
Colombia La Zulia Castillo Sweet Rose Honey,Coffeebox Coffee,93,"Taipei, Taiwan","Huila Department, Colombia",Light,62/80,NT$760/227 grams,January 2024,9,8,9,9,8,,
Wilton Benitez Geisha,JBC Coffee Roasters,96,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Light,62/80,$27.00/8 ounces,January 2024,9,9,9,10,9,,
Ethiopia Natural Guji Blue Donkey 23/02,Kakalove Cafe,95,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,62/78,NT$325/8 ounces,January 2024,9,9,9,9,,,
Ethiopia Natural Sidama Arbegona Bochessa,Kakalove Cafe,95,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,64/86,NT$325/8 ounces,January 2024,9,9,9,9,9,,
Peru Natural Villa Rica Espresso,Kakalove Cafe,94,"Chia-Yi, Taiwan","Oxapampa, Pasco, Peru",Medium-Light,58/78,NT$250/8 ounces,January 2024,9,,9,9,8,9,
Costa Rica TIM Washed Don Eli Catuai,Kakalove Cafe,94,"Chia-Yi, Taiwan","Tarrazu, Costa Rica",Medium-Light,58/74,NT$270/4 ounces,January 2024,9,9,9,9,8,,
Ethiopia Natural Sidama Twakok Pearl Selection,Kakalove Cafe,94,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,62/80,NT$300/8 ounces,January 2024,9,9,9,9,8,,
Kenya Washed Uklili AA,Kakalove Cafe,94,"Chia-Yi, Taiwan","Nakuru County, Kenya",Light,64/86,NT$325/8 ounces,January 2024,9,9,9,9,8,,
Costa Rica Natural Sin Limites SL28,Kakalove Cafe,93,"Chia-Yi, Taiwan","Naranjo, Alajuela, Costa Rica",Medium-Light,60/78,NT$400/4 ounces,January 2024,9,8,9,9,8,,
Flying Jewel Espresso,Utopian Coffee,93,"Fort Wayne, Indiana",Not disclosed,Medium-Light,58/80,$21.00/12 ounces,January 2024,9,,8,8,9,9,
Kenya Lemon and Citrus Symphony Super C,Bargain Cafe,93,"Taitung, Taiwan","Nyeri growing region, south-central Kenya",Light,62/80,NT$299/200 grams,January 2024,9,9,8,9,8,,
Mexico Alba Flores,Utopian Coffee,93,"Fort Wayne, Indiana","Oaxaca, Mexico",Medium-Light,60/78,$21.00/12 ounces,January 2024,9,9,8,9,8,,
Peru Ricardo Palma,Utopian Coffee,92,"Fort Wayne, Indiana","Cajamarca, Peru",Medium-Light,59/77,$19.00/12 ounces,January 2024,9,8,8,9,8,,
Costa Rica Brunca Rivense La Guaca Passion Honey,Bargain Cafe,91,"Taitung, Taiwan","Brunca Region, Costa Rica",Light,63/84,NT$ 380/200 grams,January 2024,8,8,8,9,8,,
Cold Brew,Utopian Coffee,93,"Fort Wayne, Indiana",Not disclosed,Light,64/85,$18.00/12 ounces,January 2024,8,,9,9,8,9,
Nkanda #7 Burundi,JBC Coffee Roasters,92,"Madison, Wisconsin","Tangara, Ngozi,  Burundi",Medium-Light,58/78,$21.00/12 ounces,January 2024,8,8,9,9,8,,
Pearl,Utopian Coffee,91,"Fort Wayne, Indiana",Not disclosed,Light,64/86,$18.00/12 ounces,January 2024,8,9,8,9,7,,
Cordillera de Fuego Costa Rica,JBC Coffee Roasters,94,"Madison, Wisconsin","Tarrazu, Costa Rica",Medium-Light,59/77,$18.00/8 ounces,December 2023,9,9,9,9,8,,
Mellowcup Blend Espresso,Kakalove Cafe,93,"Chia-Yi, Taiwan",Ethiopia; Guatemala,Medium-Light,56/74,NT$ 290/8 ounces,December 2023,9,,8,9,8,9,
