title,roaster,score,Roaster Location,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,coffee_name,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD,Latitude,Longitude,January_Avg_Temp,January_Precipitation,July_Avg_Temp,July_Precipitation,Est. Price USD_per_ounce,region,whole-bean_Agtron,ground-bean_Agtron,Roast Level_Dark,Roast Level_Light,Roast Level_Medium,Roast Level_Medium-Dark,Roast Level_Medium-Light
Ethiopia Guji Buku Sayisa Natural,RamsHead Coffee Roasters,93,"Livingston, Montana",2024-12-01,9.0,8.0,9,9,8.0,Ethiopia Guji Buku Sayisa Natural,1,0,0,0,0,0,22.00/12 ounces,1.160144594939477,-0.6811572712629888,-1.87019030573816,-0.5291159027084525,-1.206869593318335,-0.6499180688979977,-0.1707972833512909,africa_arabia,62.0,86.0,0,1,0,0,0
Las Brisas Colombia,JBC Coffee Roasters,93,"Madison, Wisconsin",2021-04-01,9.0,9.0,8,9,8.0,Las Brisas Colombia,0,0,0,0,0,0,16.20/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.2575764506780403,,58.0,78.0,0,0,0,0,1
Ethiopia Halo Beriti,Roadmap CoffeeWorks,96,"Lexington, Virginia",2022-11-01,9.0,9.0,9,10,9.0,Ethiopia Halo Beriti,1,0,0,0,0,0,20.95/12 ounces,0.3694339364746158,-0.3647031562475028,-0.11691655214754235,-0.3204704703905302,0.16648782755471808,-0.840143864481468,-0.18526047790574915,africa_arabia,60.0,77.0,0,0,0,0,1
Sumatra Pantan Musara,Paradise Roasters,94,"Minneapolis, Minnesota",2020-06-01,9.0,9.0,9,9,8.0,Sumatra Pantan Musara,0,0,0,0,1,0,24.95/12 ounces,1.091385896617402,-0.5052689623552579,-1.2703861268782117,-0.5291159027084525,0.034434229393847646,-0.9352567622732032,-0.1255998003686089,asia_pacific,54.0,72.0,0,0,0,0,1
La Esperanza Colombian Natural X.O.,Durango Coffee Company,94,"Durango, Colorado",2020-10-01,9.0,9.0,9,9,8.0,La Esperanza Colombian Natural X.O.,0,0,0,0,0,0,16.95/12 ounces,0.31854171772681367,-0.6538529790961713,-0.8205329927332506,0.2011431104042755,-1.2596910325826831,-0.9352567622732032,-0.24672905476219667,,54.0,70.0,0,0,0,0,1
Papua New Guinea Tsekaka,Magnolia Coffee,92,"Charlotte, North Carolina",2021-05-01,8.0,8.0,9,9,8.0,Papua New Guinea Tsekaka,0,0,0,0,1,0,16.00/12 ounces,0.11281999775610188,-0.3789427998601484,0.35600597349203206,-0.5030352236687122,0.6418807809338508,-0.9352567622732032,-0.26119224931665486,asia_pacific,54.0,72.0,0,0,0,0,1
Kenya Gaturiri,Durango Coffee Company,93,"Durango, Colorado",2023-02-01,9.0,9.0,8,9,8.0,Kenya Gaturiri,1,0,0,0,0,0,19.95/12 ounces,0.31854171772681367,-0.6538529790961713,-0.8205329927332506,0.2011431104042755,-1.2596910325826831,-0.9352567622732032,-0.20153157177951467,africa_arabia,57.0,74.0,0,0,0,0,1
Rayo del Sol Peru,JBC Coffee Roasters,93,"Madison, Wisconsin",2022-04-01,9.0,9.0,8,9,8.0,Rayo del Sol Peru,0,0,0,0,0,0,19.50/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.20876316905674375,,56.0,74.0,0,0,0,0,1
Colombia El Jordan Washed,Buon Caffe,93,"Taipei, Taiwan",2024-07-01,9.0,9.0,8,9,8.0,Colombia El Jordan Washed,0,0,0,0,0,0,9.00/8 ounces,-0.909866055323559,1.6793790487169182,1.117295892814274,-0.46391420510910186,1.2757380521060295,2.07665166779841,-0.29915813502210775,,62.0,84.0,0,1,0,0,0
Out of Africa Blend,RamsHead Coffee Roasters,92,"Bozeman, Montana",2021-11-01,9.0,8.0,8,9,8.0,Out of Africa Blend,1,0,0,0,0,1,17.95/12 ounces,1.1618550118186055,-0.6860634906928479,-1.8817250014854663,-0.5291159027084525,-1.2596910325826831,-0.9352567622732032,-0.23045796088843112,africa_arabia,58.0,78.0,0,0,0,0,1
Kona Mocca®,Hula Daddy Kona Coffee,95,"Holualoa, Hawai’i",2021-11-01,9.0,9.0,9,9,9.0,Kona Mocca®,0,0,0,1,0,0,89.95/8 ounces,-1.4526439135404228,-1.1423856056152761,0.9327407608573667,-0.5160755631885824,-1.4445660700079015,1.0938183906171468,1.530435976116859,hawaii,57.0,78.0,0,0,0,0,1
Ethiopia Guji Buku,Jaunt Coffee Roasters,92,"San Diego, California",2023-09-01,8.0,8.0,9,9,8.0,Ethiopia Guji Buku,1,0,0,0,0,0,24.00/12 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,-0.14006299492306715,africa_arabia,64.0,78.0,0,1,0,0,0
La Joya Ecuador,JBC Coffee Roasters,93,"Madison, Wisconsin",2023-03-01,9.0,9.0,8,9,8.0,La Joya Ecuador,0,0,0,0,0,0,25.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.1255998003686089,,61.0,83.0,0,1,0,0,0
Costa Rica Volcan Azul San Isidro Red Honey,PT’s Coffee Roasting Co.,95,"Topeka, Kansas",2021-12-01,9.0,9.0,9,9,9.0,Costa Rica Volcan Azul San Isidro Red Honey,0,0,1,0,0,0,22.00/12 ounces,0.4963944217469875,-0.5297980388776401,-0.5667696862925033,-0.5291159027084525,0.37777358461211,1.9181301714788512,-0.1707972833512909,central_america,58.0,76.0,0,0,0,0,1
Ethiopia Natural Guji Hambella Wate Peaberry,Kakalove Cafe,95,"Chia-Yi, Taiwan",2021-04-01,9.0,9.0,9,9,9.0,Ethiopia Natural Guji Hambella Wate Peaberry,1,0,0,0,0,0,11.25/8 ounces,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,-0.24672905476219667,africa_arabia,62.0,84.0,0,1,0,0,0
Finca Vista Hermosa Edwin’s Reserve Guatemala,Torque Coffee,94,"San Diego, California",2024-03-01,9.0,9.0,9,9,8.0,Finca Vista Hermosa Edwin’s Reserve Guatemala,0,0,1,0,0,0,21.34/12ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,3.356414288617212,central_america,63.0,81.0,0,1,0,0,0
Bella Carmona Guatemala,JBC Coffee Roasters,93,"Madison, Wisconsin",2020-06-01,9.0,8.0,9,9,8.0,Bella Carmona Guatemala,0,0,1,0,0,0,17.00/12 ounces,0.9004380053140781,-0.46579496410750176,-0.9128105587117041,-0.3595914889501407,-0.2560836865600677,0.20609801122761867,-0.2449211554428894,central_america,56.0,74.0,0,0,0,0,1
Colombia Planadas Tolima,Jaunt Coffee Roasters,93,"San Diego, California",2021-11-01,9.0,8.0,9,9,8.0,Colombia Planadas Tolima,0,0,0,0,0,0,23.00/12 ounces,-0.1390744067973635,-0.7482862406139593,0.5751651926908593,2.6005655820603826,-1.3389231914792055,-0.9352567622732032,-0.15452618947752542,,63.0,83.0,0,1,0,0,0
Kenya AA Top Gathambi Station,GK Coffee,94,"Yilan, Taiwan",2021-06-01,9.0,9.0,9,9,8.0,Kenya AA Top Gathambi Station,1,0,0,0,0,0,16.50/200 grams,-0.9385268290886759,1.6813076928693744,1.1057611970669672,3.382985953252591,1.038041575416462,-0.5231008718423509,-0.39678469826470086,africa_arabia,58.0,76.0,0,0,0,0,1
Colombia Finca Juan Martin Aced Sidra,Revel Coffee,95,"Billings, Montana",2023-03-01,9.0,9.0,9,9,9.0,Colombia Finca Juan Martin Aced Sidra,0,0,0,0,0,0,31.50/12 ounces,1.172701074172004,-0.6601525148480856,-1.1319697779105313,-0.5291159027084525,-0.28249440619224214,-0.9352567622732032,-0.027973237126015803,,62.0,80.0,0,1,0,0,0
Guatemala El Plan Rosma,Corvus Coffee Roasters,93,"Denver, Colorado",2020-09-01,9.0,9.0,8,9,8.0,Guatemala El Plan Rosma,0,0,1,0,0,0,21.00/12 ounces,0.5656687542527391,-0.6244462169992683,-1.558753520560879,-0.5291159027084525,-1.6030303878009464,-0.9352567622732032,-0.18526047790574915,central_america,60.0,76.0,0,0,0,0,1
Kenya Washed Nyeri Gichathaini Factory AB,Kakalove Cafe,94,"Chia-Yi, Taiwan",2021-04-01,9.0,9.0,9,9,8.0,Kenya Washed Nyeri Gichathaini Factory AB,1,0,0,0,0,0,11.70/8 ounces,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,-0.23768955816566026,africa_arabia,60.0,78.0,0,0,0,0,1
Guatemala El Injerto Ethiopia Landrace Natural,Equator Coffees,94,"San Rafael, California",2023-09-01,9.0,9.0,9,9,8.0,Guatemala El Injerto Ethiopia Landrace Natural,0,0,1,0,0,0,20.00/6 ounces,0.3885793947729697,-0.8028838096326854,0.13684675429320503,0.10986073376518457,-0.30890512582441565,-0.9352567622732032,0.10038761454480104,central_america,57.0,74.0,0,0,0,0,1
Sumatra Gayo Lues Natural,Magnolia Coffee,93,"Charlotte, North Carolina",2023-07-01,9.0,9.0,8,9,8.0,Sumatra Gayo Lues Natural,0,0,0,0,1,0,23.00/12 ounces,0.11281999775610188,-0.3789427998601484,0.35600597349203206,-0.5030352236687122,0.6418807809338508,-0.9352567622732032,-0.15452618947752542,asia_pacific,60.0,74.0,0,0,0,0,1
2020 Savage Auction Deborah Carbonic-Macerated Natural Geisha,Kakalove Cafe,94,"Chia-Yi, Taiwan",2020-10-01,9.0,9.0,9,9,8.0,2020 Savage Auction Deborah Carbonic-Macerated Natural Geisha,0,0,1,0,0,0,22.50/4 ounces,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,0.5143965586661681,central_america,58.0,74.0,0,0,0,0,1
Guatemala Retiro del Quisaya Washed Process,Durango Coffee Company,93,"Durango, Colorado",2023-02-01,9.0,9.0,8,9,8.0,Guatemala Retiro del Quisaya Washed Process,0,0,1,0,0,0,18.95/12 ounces,0.31854171772681367,-0.6538529790961713,-0.8205329927332506,0.2011431104042755,-1.2596910325826831,-0.9352567622732032,-0.21599476633397288,central_america,58.0,76.0,0,0,0,0,1
Yemen Al Mashtal Al Burhani,Paradise Roasters,95,"Minneapolis, Minnesota",2022-05-01,9.0,9.0,9,9,9.0,Yemen Al Mashtal Al Burhani,1,0,0,0,0,0,30.00/4 ounces,1.091385896617402,-0.5052689623552579,-1.2703861268782117,-0.5291159027084525,0.034434229393847646,-0.9352567622732032,0.8542816306959365,africa_arabia,58.0,74.0,0,0,0,0,1
Ka’u Classic Medium Roast,Rusty's Hawaiian,93,"Pahala, Hawai'i",2020-08-01,9.0,9.0,8,9,8.0,Ka’u Classic Medium Roast,0,0,0,1,0,0,19.00/7 ounces,-1.4955022965792355,-1.1379161318635107,1.3479898077604078,2.43104116830207,-0.6258337614105045,1.7596086751592925,-0.011702143252250314,hawaii,53.0,68.0,0,0,1,0,0
Ethiopia Natural Sidama Bacha 74110,Kakalove Cafe,95,"Chia-Yi, Taiwan",2024-06-01,9.0,9.0,9,9,9.0,Ethiopia Natural Sidama Bacha 74110,1,0,0,0,0,0,9.75/8 ounces,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,-0.281079141829035,africa_arabia,66.0,88.0,0,1,0,0,0
Double Happiness by Brandon Jew,Equator Coffees,93,"San Rafael, California",2024-08-01,9.0,9.0,8,9,8.0,Double Happiness by Brandon Jew,1,0,0,0,0,0,19.50/12 ounces,0.3885793947729697,-0.8028838096326854,0.13684675429320503,0.10986073376518457,-0.30890512582441565,-0.9352567622732032,-0.20876316905674375,africa_arabia,65.0,89.0,0,1,0,0,0
Citrus Notes Ethiopia Blend,Coffeeland,93,"Chia-Yi, Taiwan",2024-06-01,9.0,9.0,8,9,8.0,Citrus Notes Ethiopia Blend,1,0,0,0,0,0,14.40/227 grams,-1.0660749201410167,1.66808979089915,1.0250183268358204,-0.3204704703905302,1.249327332473855,-0.396283674786704,-0.4094399934998518,africa_arabia,58.0,70.0,0,0,0,0,1
