title,roaster,score,Roaster Location,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,coffee_name,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD,Latitude,Longitude,January_Avg_Temp,January_Precipitation,July_Avg_Temp,July_Precipitation,Est. Price USD_per_ounce,whole-bean_Agtron,ground-bean_Agtron,Roast Level_Dark,Roast Level_Light,Roast Level_Medium,Roast Level_Medium-Dark,Roast Level_Medium-Light
Ethiopia Guji Uraga Tabe Burka G1 Washed,Buon Caffe,92,"Taipei, Taiwan",2025-02-01,8.0,8.0,9,9,8.0,Ethiopia Guji Uraga Tabe Burka G1 Washed,1,0,0,0,0,0,8.97/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.12,62.0,81.0,False,True,False,False,False
Ethiopia Guji Hambela Red Honey G1,Buon Caffe,92,"Taipei, Taiwan",2025-02-01,8.0,8.0,9,9,8.0,Ethiopia Guji Hambela Red Honey G1,1,0,0,0,0,0,10.47/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.31,61.0,85.0,False,True,False,False,False
Nicaragua La Estrella Washed,Buon Caffe,92,"Taipei, Taiwan",2025-02-01,9.0,8.0,8,9,8.0,Nicaragua La Estrella Washed,0,0,1,0,0,0,8.97/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.12,59.0,81.0,False,False,False,False,True
Colombia Jose Ignacio Gomez Washed,Buon Caffe,90,"Taipei, Taiwan",2025-02-01,8.0,8.0,8,9,7.0,Colombia Jose Ignacio Gomez Washed,0,0,0,0,0,0,11.97/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.5,64.0,80.0,False,True,False,False,False
Costa Rica Las Lajas SL-28 Natural,Durango Coffee Company,94,"Durango, Colorado",2025-01-01,9.0,8.0,9,9,9.0,Costa Rica Las Lajas SL-28 Natural,0,0,1,0,0,0,30.00/12 ounces,37.2769484,-107.8766,2.0,5.6,19.2,0.0,2.5,58.0,84.0,False,True,False,False,False
Ethiopia Faysel Abdosh,Utopian Coffee,94,"Fort Wayne, Indiana",2025-01-01,9.0,9.0,9,9,8.0,Ethiopia Faysel Abdosh,1,0,0,0,0,0,20.00/12 ounces,41.0799898,-85.1386015,4.1,0.0,24.0,5.8,1.67,64.0,88.0,False,True,False,False,False
Nicaragua Procafe Regenerative-Organic Certified,Utopian Coffee,93,"Fort Wayne, Indiana",2025-01-01,9.0,8.0,9,9,8.0,Nicaragua Procafe Regenerative-Organic Certified,0,0,1,0,0,0,20.00/12 ounces,41.0799898,-85.1386015,4.1,0.0,24.0,5.8,1.67,51.0,69.0,False,False,True,False,False
Ethiopia Guji Bishala G1 Red Honey,Dou Zhai Coffee & Roastery,94,"Taichung, Taiwan",2025-01-01,9.0,8.0,9,9,8.0,Ethiopia Guji Bishala G1 Red Honey,1,0,0,0,0,0,13.80/8 ounces,24.163162,120.6478282,18.3,5.0,27.6,9.7,1.73,58.0,80.0,False,False,False,False,True
Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1,Dou Zhai Coffee & Roastery,94,"Taichung, Taiwan",2025-01-01,9.0,9.0,9,9,8.0,Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1,1,0,0,0,0,0,21.60/8 ounces,24.163162,120.6478282,18.3,5.0,27.6,9.7,2.7,66.0,89.0,False,True,False,False,False
Ethiopia Sidamo Arbegona OLOROSO Station 74158 TOP GRADE 1 Yellow Honey,Dou Zhai Coffee & Roastery,93,"Taichung, Taiwan",2025-01-01,9.0,8.0,9,9,8.0,Ethiopia Sidamo Arbegona OLOROSO Station 74158 TOP GRADE 1 Yellow Honey,1,0,0,0,0,0,13.20/8 ounces,24.163162,120.6478282,18.3,5.0,27.6,9.7,1.65,64.0,88.0,False,True,False,False,False
DRC Mukwinja,Utopian Coffee,92,"Fort Wayne, Indiana",2025-01-01,8.0,8.0,8,9,9.0,DRC Mukwinja,1,0,0,0,0,0,19.00/12 ounces,41.0799898,-85.1386015,4.1,0.0,24.0,5.8,1.58,52.0,70.0,False,False,False,False,True
Colombia Huila La Florida Natural Selective,Dou Zhai Coffee & Roastery,93,"Taichung, Taiwan",2025-01-01,9.0,9.0,8,9,8.0,Colombia Huila La Florida Natural Selective,0,0,0,0,0,0,14.40/8 ounces,24.163162,120.6478282,18.3,5.0,27.6,9.7,1.8,59.0,81.0,False,False,False,False,True
Ethiopia Guji Hambela Natural G1,Dou Zhai Coffee & Roastery,92,"Taichung, Taiwan",2025-01-01,9.0,8.0,8,9,8.0,Ethiopia Guji Hambela Natural G1,1,0,0,0,0,0,14.40/8 ounces,24.163162,120.6478282,18.3,5.0,27.6,9.7,1.8,66.0,92.0,False,True,False,False,False
Ethiopia Oromia Guji Uraga Kurume TOP GRADE 1 Anaerobic Natural,Dou Zhai Coffee & Roastery,91,"Taichung, Taiwan",2025-01-01,8.0,8.0,9,9,7.0,Ethiopia Oromia Guji Uraga Kurume TOP GRADE 1 Anaerobic Natural,1,0,0,0,0,0,12.60/8 ounces,24.163162,120.6478282,18.3,5.0,27.6,9.7,1.57,63.0,83.0,False,True,False,False,False
Kenya Nyeri Hill AB,Roadmap CoffeeWorks,96,"Lexington, Virginia",2025-01-01,9.0,9.0,9,10,9.0,Kenya Nyeri Hill AB,1,0,0,0,0,0,23.50/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,1.96,58.0,82.0,False,False,False,False,True
Ethiopia Sidama  Bombe Natural,Bargain Cafe,94,"Taitung, Taiwan",2025-01-01,9.0,8.0,9,9,9.0,Ethiopia Sidama  Bombe Natural,1,0,0,0,0,0,10.50/200 grams,22.7553667,121.1506,20.7,4.2,27.7,6.0,0.37,61.0,85.0,False,True,False,False,False
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,95,"Lexington, Virginia",2025-01-01,9.0,9.0,9,9,9.0,Ethiopia Kayon Mountain,1,0,0,0,0,0,24.00/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,2.0,64.0,88.0,False,True,False,False,False
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,95,"Lexington, Virginia",2025-01-01,9.0,9.0,9,9,9.0,Ethiopia Kayon Mountain,1,0,0,0,0,0,24.00/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,2.0,64.0,88.0,False,True,False,False,False
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,95,"Lexington, Virginia",2025-01-01,9.0,9.0,9,9,9.0,Ethiopia Kayon Mountain,1,0,0,0,0,0,24.00/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,2.0,64.0,88.0,False,True,False,False,False
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,95,"Lexington, Virginia",2025-01-01,9.0,9.0,9,9,9.0,Ethiopia Kayon Mountain,1,0,0,0,0,0,24.00/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,2.0,64.0,88.0,False,True,False,False,False
Ethiopia Kayon Mountain,Roadmap CoffeeWorks,95,"Lexington, Virginia",2025-01-01,9.0,9.0,9,9,9.0,Ethiopia Kayon Mountain,1,0,0,0,0,0,24.00/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,2.0,64.0,88.0,False,True,False,False,False
Colombia Red Sunset,Roadmap CoffeeWorks,94,"Lexington, Virginia",2025-01-01,9.0,8.0,9,9,9.0,Colombia Red Sunset,0,0,0,0,0,0,27.00/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,2.25,60.0,84.0,False,True,False,False,False
Encounter Passionfruit Orchard,Bargain Cafe,93,"Taitung, Taiwan",2025-01-01,9.0,8.0,9,9,8.0,Encounter Passionfruit Orchard,1,0,1,0,0,1,12.00/200 grams,22.7553667,121.1506,20.7,4.2,27.7,6.0,0.42,64.0,88.0,False,True,False,False,False
Kenya Starry Night’s Fruitful Serenity,Bargain Cafe,93,"Taitung, Taiwan",2025-01-01,9.0,9.0,8,9,8.0,Kenya Starry Night’s Fruitful Serenity,1,0,0,0,0,0,10.50/200 grams,22.7553667,121.1506,20.7,4.2,27.7,6.0,0.37,60.0,86.0,False,True,False,False,False
Espresso Giusto Blend,Roadmap CoffeeWorks,93,"Lexington, Virginia",2025-01-01,8.0,,9,9,8.0,Espresso Giusto Blend,0,0,0,0,0,0,18.25/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,1.52,52.0,74.0,False,False,False,False,True
Blue Ridge Blend,Roadmap CoffeeWorks,92,"Lexington, Virginia",2025-01-01,8.0,8.0,9,9,8.0,Blue Ridge Blend,0,0,0,0,0,0,17.50/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,1.46,46.0,74.0,False,False,True,False,False
Blue Ridge Blend,Roadmap CoffeeWorks,92,"Lexington, Virginia",2025-01-01,8.0,8.0,9,9,8.0,Blue Ridge Blend,0,0,0,0,0,0,17.50/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,1.46,46.0,74.0,False,False,True,False,False
Blue Ridge Blend,Roadmap CoffeeWorks,92,"Lexington, Virginia",2025-01-01,8.0,8.0,9,9,8.0,Blue Ridge Blend,0,0,0,0,0,0,17.50/12 ounces,37.7840208,-79.4428157,8.1,1.6,24.6,0.3,1.46,46.0,74.0,False,False,True,False,False
Ethiopia Nano Genji Lot #8,SkyTop Coffee,94,"Manlius, New York",2025-01-01,9.0,9.0,9,9,8.0,Ethiopia Nano Genji Lot #8,1,0,0,0,0,0,22.00/12 ounces,43.0020107,-75.9768632,5.6,2.3,23.9,6.4,1.83,64.0,84.0,False,True,False,False,False
Colombia Hacienda La Pradera Mokka,SkyTop Coffee,94,"Manlius, New York",2025-01-01,9.0,9.0,9,9,8.0,Colombia Hacienda La Pradera Mokka,0,0,0,0,0,0,42.00/12 ounces,43.0020107,-75.9768632,5.6,2.3,23.9,6.4,3.5,64.0,88.0,False,True,False,False,False
Kenya Crown Jewel Nyeri Ichamama,SkyTop Coffee,93,"Manlius, New York",2025-01-01,8.0,9.0,9,9,8.0,Kenya Crown Jewel Nyeri Ichamama,1,0,0,0,0,0,30.00/12 ounces,43.0020107,-75.9768632,5.6,2.3,23.9,6.4,2.5,59.0,79.0,False,False,False,False,True
La Piragua Pink Bourbon Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin",2025-01-01,9.0,9.0,9,9,8.0,La Piragua Pink Bourbon Colombia,0,0,0,0,0,0,22.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.83,62.0,84.0,False,True,False,False,False
Kenya Baragwi Guama,Utopian Coffee,94,"Fort Wayne, Indiana",2025-01-01,9.0,9.0,8,9,9.0,Kenya Baragwi Guama,1,0,0,0,0,0,22.00/12 ounces,41.0799898,-85.1386015,4.1,0.0,24.0,5.8,1.83,60.0,78.0,False,False,False,False,True
Guatemala Punta del Cerro,Intuition Coffee,93,"Peoria, Illinois",2025-01-01,9.0,9.0,8,9,8.0,Guatemala Punta del Cerro,0,0,1,0,0,0,22.00/12 ounces,40.6938609,-89.5891008,5.0,2.3,24.6,6.8,1.83,58.0,77.0,False,False,False,False,True
Ethiopia Washed Uraga More Floral Kurume Espresso,Kakalove Cafe,95,"Chia-Yi, Taiwan",2025-01-01,9.0,,9,9,9.0,Ethiopia Washed Uraga More Floral Kurume Espresso,1,0,0,0,0,0,8.10/8 ounces,23.4811089,120.4535412,18.0,1.6,28.7,1.7,1.01,58.0,79.0,False,False,False,False,True
Ethiopia Natural Sidama ALO Village FL,Kakalove Cafe,95,"Chia-Yi, Taiwan",2025-01-01,9.0,9.0,9,9,9.0,Ethiopia Natural Sidama ALO Village FL,1,0,0,0,0,0,14.40/4 ounces,23.4811089,120.4535412,18.0,1.6,28.7,1.7,3.6,62.0,84.0,False,True,False,False,False
Ethiopia Washed Sidama Bura Karamo 74158,Kakalove Cafe,95,"Chia-Yi, Taiwan",2025-01-01,9.0,9.0,8,10,9.0,Ethiopia Washed Sidama Bura Karamo 74158,1,0,0,0,0,0,9.60/8 ounces,23.4811089,120.4535412,18.0,1.6,28.7,1.7,1.2,64.0,84.0,False,True,False,False,False
Ethiopia Natural Guji Hambella Wamena Buku G1,Kakalove Cafe,94,"Chia-Yi, Taiwan",2025-01-01,9.0,8.0,9,9,9.0,Ethiopia Natural Guji Hambella Wamena Buku G1,1,0,0,0,0,0,9.60/8 ounces,23.4811089,120.4535412,18.0,1.6,28.7,1.7,1.2,64.0,88.0,False,True,False,False,False
Ethiopia Natural Sidama Niguse Gemeda 74158,Kakalove Cafe,93,"Chia-Yi, Taiwan",2025-01-01,9.0,8.0,9,9,8.0,Ethiopia Natural Sidama Niguse Gemeda 74158,1,0,0,0,0,0,9.60/8 ounces,23.4811089,120.4535412,18.0,1.6,28.7,1.7,1.2,60.0,82.0,False,True,False,False,False
Guatemala Naranjas Nadando,PT's Coffee Roasting Co.,95,"Topeka, Kansas",2025-01-01,9.0,9.0,9,9,9.0,Guatemala Naranjas Nadando,0,0,1,0,0,0,22.00/10 ounces,39.049011,-95.677556,4.2,0.0,25.4,9.0,2.2,62.0,84.0,False,True,False,False,False
Songstress Geisha,Heat Coffee,95,"Taipei, Taiwan",2025-01-01,9.0,9.0,9,9,9.0,Songstress Geisha,1,0,0,0,0,0,11.10/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.39,64.0,86.0,False,True,False,False,False
Narcissus,Heat Coffee,93,"Taipei, Taiwan",2025-01-01,9.0,9.0,8,9,8.0,Narcissus,1,0,0,0,0,0,9.60/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,1.2,62.0,80.0,False,True,False,False,False
Venture Coffee Blend,Heat Coffee,91,"Taipei, Taiwan",2025-01-01,8.0,8.0,9,9,7.0,Venture Coffee Blend,1,0,0,0,0,1,5.37/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,0.67,59.0,78.0,False,False,False,False,True
Panama Bambito Estate Geisha,Mostra Coffee,95,"San Diego, California",2024-12-01,9.0,9.0,9,9,9.0,Panama Bambito Estate Geisha,0,0,1,0,0,0,38.75/4 ounces,32.7174202,-117.162772,14.1,24.0,18.9,0.0,9.69,64.0,88.0,False,True,False,False,False
Colombia Efren Echeverry,Utopian Coffee,94,"Fort Wayne, Indiana",2024-12-01,9.0,9.0,9,9,8.0,Colombia Efren Echeverry,0,0,0,0,0,0,25.00/12 ounces,41.0799898,-85.1386015,4.1,0.0,24.0,5.8,2.08,62.0,84.0,False,True,False,False,False
Fincas Las Moritas Pacamara Amarillo,El Gran Cafe,93,"Antigua Guatemala, Guatemala",2024-12-01,9.0,8.0,9,9,8.0,Fincas Las Moritas Pacamara Amarillo,0,0,1,0,0,0,24.00/12 ounces,14.5567814,-90.7337346,18.5,0.0,19.6,2.0,2.0,60.0,78.0,False,False,False,False,True
Bunny Kitty Blend,Jaunt Coffee Roasters,93,"San Diego, California",2024-12-01,9.0,8.0,9,9,8.0,Bunny Kitty Blend,1,0,0,0,1,1,29.00/8 ounces,32.7174202,-117.162772,14.1,24.0,18.9,0.0,3.62,59.0,81.0,False,False,False,False,True
Ayla Bombe Natural,JBC Coffee Roasters,94,"Madison, Wisconsin",2024-12-01,9.0,9.0,9,9,8.0,Ayla Bombe Natural,1,0,0,0,0,0,22.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.83,63.0,87.0,False,True,False,False,False
Wilton Benitez Striped Bourbon Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin",2024-12-01,9.0,9.0,8,9,9.0,Wilton Benitez Striped Bourbon Colombia,0,0,0,0,0,0,25.00/8 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,3.12,62.0,84.0,False,True,False,False,False
Buena Vista Pink Bourbon Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin",2024-12-01,9.0,9.0,9,9,8.0,Buena Vista Pink Bourbon Colombia,0,0,0,0,0,0,22.00/8 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,2.75,59.0,77.0,False,False,False,False,True
Yabitu Koba Ethiopia,JBC Coffee Roasters,93,"Madison, Wisconsin",2024-12-01,9.0,9.0,8,9,8.0,Yabitu Koba Ethiopia,1,0,0,0,0,0,23.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.92,60.0,82.0,False,True,False,False,False
Yabitu Koba Ethiopia,JBC Coffee Roasters,93,"Madison, Wisconsin",2024-12-01,9.0,9.0,8,9,8.0,Yabitu Koba Ethiopia,1,0,0,0,0,0,23.00/12 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,1.92,60.0,82.0,False,True,False,False,False
Ethiopia Banko Washed,Red Rooster Coffee Roaster,96,"Floyd, Virginia",2024-12-01,9.0,9.0,9,10,9.0,Ethiopia Banko Washed,1,0,0,0,0,0,24.00/12 ounces,36.9157056,-80.3876889,9.8,0.1,23.6,0.0,2.0,62.0,84.0,False,True,False,False,False
